T2M,RH2M,WS10M,WS50M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,WS50M_MAX,WS50M_MIN,PS
33.54,30.44,4.1,5.57,43.71,23.07,10.01,0.28,12.66,0.27,97.27
33.85,35.69,2.88,3.88,43.55,23.97,8.7,0.14,11.07,0.22,97.24
31.93,53.38,4.35,5.67,43.8,24.12,9.91,0.06,11.98,0.21,96.73
27.33,72.88,4.89,6.86,34.44,22.19,9.51,0.9,11.98,1.02,96.99
26.73,80.19,3.98,5.84,33.37,22.21,8.63,0.17,10.89,0.02,96.87
27.54,74.38,3.05,4.77,35.6,21.72,8.86,0.3,11.03,0.45,97.21
25.72,76.25,2.65,3.94,33.46,17.38,8.45,0.26,10.88,0.42,97.52
23.75,72.38,2.93,4.39,33.98,13.75,10.54,0.04,13.51,0.04,97.6
21.58,62.19,2.32,3.58,31.47,9.73,5.52,0.27,8.68,0.22,98.0
23.49,57.25,2.73,4.27,34.93,13.38,5.22,1.05,8.32,1.05,97.87
26.94,46.12,3.73,5.25,37.48,13.87,7.56,0.6,10.09,0.52,97.62
30.46,33.25,3.39,4.82,42.08,18.94,7.32,0.34,11.04,0.46,97.35
32.35,43.44,3.94,5.32,43.45,22.21,8.44,0.36,10.77,0.26,97.29
36.6,29.69,3.92,5.24,47.12,26.58,8.68,0.05,10.28,0.07,96.72
31.39,54.62,4.86,6.41,44.84,22.87,9.77,0.55,11.59,0.73,96.78
26.8,81.0,4.51,6.41,34.3,22.37,10.12,0.08,13.7,0.1,96.79
26.15,86.12,3.49,5.27,32.25,22.32,9.23,0.35,11.67,0.56,96.89
25.8,88.44,2.73,4.3,30.66,22.12,7.63,0.32,10.19,0.38,96.97
23.8,77.56,2.62,4.02,30.7,16.18,5.9,0.1,7.64,0.14,97.46
21.45,65.19,2.23,3.3,29.4,9.48,5.76,0.02,10.25,0.05,97.86
21.77,57.94,2.09,3.07,31.14,12.12,5.77,0.07,9.54,0.08,98.01
22.65,45.81,2.49,3.77,34.92,10.52,6.2,0.22,9.73,0.31,97.77
26.15,24.25,2.71,4.05,38.99,11.9,7.58,0.23,9.55,0.31,97.72
28.44,41.06,3.22,4.67,40.75,16.83,8.56,0.25,10.7,0.38,97.48
33.89,24.19,3.39,4.77,44.15,18.81,8.61,0.15,10.38,0.23,97.15
36.19,29.94,4.53,6.05,46.73,26.49,11.37,0.09,14.34,0.02,96.73
29.37,60.0,5.87,7.76,40.98,21.77,12.41,0.36,15.66,0.59,96.84
26.65,80.69,4.75,6.75,35.29,21.65,14.27,0.48,19.22,0.78,96.81
25.39,85.31,5.32,7.73,30.92,21.36,10.12,1.26,13.08,1.52,96.81
25.46,85.56,3.13,4.79,31.19,21.19,7.82,0.18,9.95,0.34,97.15
24.73,75.62,2.1,3.09,31.08,15.28,5.28,0.03,6.44,0.03,97.48
22.62,67.56,2.48,3.71,31.09,14.81,6.19,0.13,7.61,0.15,97.96
20.97,60.81,2.82,4.2,31.53,10.17,5.95,0.46,8.61,0.16,98.03
23.39,36.5,2.8,4.16,36.5,12.12,6.07,0.22,8.48,0.35,97.92
26.76,39.56,3.0,4.44,38.4,15.33,6.92,0.05,9.18,0.03,97.64
29.7,39.75,3.3,4.64,40.82,17.05,7.99,0.3,9.56,0.21,97.51
33.9,29.94,3.88,5.31,44.68,22.44,8.23,0.11,10.58,0.3,97.12
30.86,58.69,4.4,5.98,42.23,23.85,14.65,0.16,18.05,0.18,96.87
27.4,75.62,5.32,7.39,34.15,23.45,11.01,0.22,14.18,0.4,96.78
26.73,76.75,5.35,7.6,33.99,22.17,9.91,0.63,12.24,0.74,96.87
26.26,82.38,4.78,6.87,33.27,21.76,11.33,0.14,14.59,0.26,96.85
25.69,85.12,3.27,5.12,30.9,20.92,6.97,1.03,8.7,1.66,97.13
24.37,84.12,2.9,4.41,30.45,16.08,7.31,0.11,9.82,0.19,97.52
22.94,79.31,2.85,4.34,30.56,12.33,6.55,0.05,8.28,0.09,97.75
21.62,70.5,2.52,3.98,30.92,11.66,6.26,0.28,8.58,0.38,98.0
23.23,52.75,3.01,4.69,34.71,8.59,6.95,0.09,9.7,0.16,97.85
27.02,34.69,3.27,4.89,38.07,13.95,7.01,0.16,9.87,0.12,97.78
31.43,34.38,3.74,5.34,43.4,19.83,7.33,0.3,10.26,0.51,97.43
34.09,32.44,3.44,4.62,45.67,24.14,8.06,0.09,10.2,0.23,97.19
36.9,30.94,4.09,5.27,46.51,27.0,9.91,0.05,12.44,0.17,96.95
29.33,69.0,5.02,6.74,43.24,22.77,11.48,0.26,14.1,0.38,96.71
26.62,80.38,5.3,7.48,32.85,22.44,10.73,0.12,14.28,0.13,96.7
25.52,84.12,4.87,7.18,31.55,21.5,9.59,1.45,12.2,2.48,96.93
26.16,81.06,2.85,4.21,31.67,21.13,6.8,0.08,8.72,0.1,97.27
24.52,77.88,2.61,3.95,31.31,14.77,6.32,0.12,7.91,0.17,97.42
22.07,75.69,2.75,4.24,31.35,13.33,6.47,0.3,8.0,0.43,97.93
20.98,65.62,2.77,4.21,31.33,11.72,7.3,0.3,9.88,0.29,97.96
21.76,50.44,3.05,4.72,33.85,10.36,6.26,0.16,9.07,0.23,98.11
25.75,33.94,2.66,3.98,38.44,14.37,6.52,0.13,9.89,0.34,97.69
30.8,23.25,3.09,4.61,43.63,18.05,6.59,0.04,9.81,0.06,97.53
33.78,29.06,3.86,5.38,44.23,23.41,7.38,0.34,9.73,0.54,97.31
35.84,30.25,3.73,4.96,45.05,25.89,8.47,0.23,10.67,0.16,96.94
31.33,56.12,4.8,6.5,41.55,22.48,13.13,0.12,16.12,0.14,96.67
27.55,73.5,4.29,6.05,34.87,22.36,9.92,0.11,12.75,0.17,96.87
25.45,85.12,4.33,6.44,31.74,20.28,9.43,1.36,12.14,2.19,96.92
25.23,82.5,3.21,4.91,30.93,19.55,8.55,0.41,11.43,0.43,97.16
25.08,74.94,2.57,3.88,33.01,16.77,8.16,0.31,10.55,0.4,97.46
23.6,73.94,2.72,4.21,32.65,13.55,6.75,0.07,8.35,0.1,97.79
20.75,65.19,2.39,3.77,30.1,12.01,4.72,0.19,7.52,0.21,98.12
23.3,42.44,2.66,4.09,34.52,12.37,5.84,0.14,9.17,0.31,97.92
25.1,32.75,3.07,4.48,38.71,11.31,7.05,0.2,9.81,0.24,97.79
29.56,34.19,3.09,4.52,41.21,18.15,7.8,0.05,10.21,0.15,97.58
33.59,32.44,3.95,5.44,44.19,21.83,7.34,0.42,10.45,0.69,97.31
36.58,28.38,4.03,5.37,46.29,27.04,11.12,0.13,13.11,0.23,96.89
31.38,53.06,4.96,6.41,43.55,22.83,12.57,0.45,15.46,0.79,96.83
27.1,75.5,4.84,6.8,35.18,22.55,9.66,1.27,12.01,2.16,96.76
26.19,81.38,4.2,6.12,31.73,22.36,8.84,0.28,11.38,0.35,97.0
25.87,83.25,3.21,4.88,31.62,21.23,7.31,0.19,9.2,0.3,97.12
25.23,82.56,2.12,3.28,31.34,17.09,5.35,0.06,7.14,0.08,97.58
22.33,69.12,2.52,3.84,31.75,11.82,6.59,0.11,7.98,0.12,97.81
20.27,56.31,2.14,3.17,30.58,10.89,4.75,0.12,6.72,0.18,98.01
23.43,55.19,2.74,4.09,34.21,13.51,6.62,0.05,8.69,0.1,97.81
25.9,43.81,3.54,5.14,37.08,13.4,7.49,0.35,10.47,0.45,97.62
31.27,30.75,2.92,4.31,43.08,17.8,6.81,0.11,9.55,0.12,97.47
33.18,34.88,2.98,4.12,43.23,23.32,7.98,0.0,9.78,0.05,97.26
35.87,32.19,3.99,5.32,46.38,27.03,10.65,0.04,12.38,0.1,96.93
30.24,59.88,5.15,6.87,42.07,22.89,9.82,1.04,11.88,1.2,96.63
26.65,77.19,5.73,8.09,34.73,21.8,11.2,0.92,15.47,1.85,96.7
25.93,82.25,4.66,6.79,32.86,21.44,8.67,0.27,11.34,0.43,96.88
25.37,81.06,3.37,5.08,31.26,17.14,8.19,0.12,10.59,0.18,97.25
24.58,85.0,2.45,3.66,30.35,18.67,8.48,0.09,11.59,0.21,97.53
22.02,80.5,2.36,3.52,29.55,14.09,6.62,0.11,8.17,0.15,97.95
19.73,65.25,2.02,2.95,29.01,10.46,4.4,0.05,7.16,0.2,98.11
19.9,65.12,2.87,4.35,30.0,9.44,9.22,0.2,11.45,0.22,98.02
24.65,53.19,2.86,4.35,36.21,13.8,7.3,0.25,10.12,0.13,97.74
29.81,42.69,3.23,4.68,41.65,18.62,7.65,0.24,10.26,0.07,97.54
32.96,36.12,3.55,5.0,43.93,22.19,7.09,0.09,9.57,0.17,97.3
31.57,47.81,4.2,5.77,42.88,22.7,10.62,0.22,13.09,0.5,96.92
31.37,55.12,4.46,6.13,43.33,23.36,11.2,0.48,13.61,0.57,96.66
26.5,81.31,4.18,6.08,33.3,21.73,9.46,0.27,11.99,0.37,96.75
26.29,84.25,3.7,5.56,31.76,22.9,8.35,0.44,10.99,0.54,96.88
25.83,84.06,3.34,5.07,31.31,21.26,10.59,0.18,13.66,0.28,97.06
24.53,86.88,3.04,4.69,31.15,17.23,6.62,0.27,9.07,0.37,97.35
21.4,78.81,2.68,4.18,28.65,13.05,7.45,0.08,9.45,0.11,97.65
20.59,72.44,2.27,3.46,28.51,13.2,5.88,0.12,8.24,0.27,98.13
22.57,63.12,2.89,4.46,32.78,13.55,6.48,0.11,9.71,0.14,97.84
25.08,52.75,3.24,4.82,37.6,13.4,7.36,0.16,10.34,0.2,97.7
30.64,29.25,3.12,4.59,43.53,18.12,7.03,0.27,10.51,0.32,97.36
32.14,41.69,3.39,4.81,45.51,21.45,7.36,0.16,10.09,0.31,97.21
35.55,25.5,4.04,5.59,45.32,24.76,9.63,0.03,11.68,0.06,96.94
30.93,55.69,4.67,6.2,41.58,23.64,10.71,0.27,13.24,0.61,96.79
27.4,74.88,4.62,6.57,36.13,22.19,9.99,0.15,12.49,0.2,96.76
26.14,82.94,3.83,5.74,33.68,21.97,9.7,0.07,12.08,0.08,96.89
26.0,84.62,2.64,4.06,31.98,20.96,8.47,0.06,10.95,0.06,96.98
24.15,83.75,3.06,4.8,30.31,16.85,7.27,0.09,9.11,0.12,97.41
21.98,72.0,2.37,3.58,30.14,13.66,6.78,0.12,8.92,0.16,97.71
21.03,59.94,2.04,3.01,30.94,9.05,5.27,0.02,8.3,0.05,97.93
20.74,60.69,2.52,3.8,31.58,8.07,5.88,0.13,8.62,0.2,97.93
24.12,33.69,2.38,3.52,38.29,10.07,5.59,0.22,9.52,0.15,97.66
30.37,28.88,2.84,4.16,41.58,16.38,7.02,0.13,9.32,0.11,97.56
30.55,46.06,3.22,4.55,40.82,19.83,7.84,0.09,10.33,0.2,97.42
34.01,35.12,3.63,5.16,44.79,23.09,9.59,0.03,11.37,0.32,97.05
31.22,53.62,4.55,6.2,42.57,23.93,9.84,0.35,11.77,0.51,96.96
27.62,74.12,4.88,6.88,35.31,22.6,10.29,0.55,13.21,0.75,96.78
26.3,79.88,5.0,7.3,33.62,21.16,9.79,0.26,12.32,0.38,96.98
26.12,83.44,2.63,4.02,32.26,20.6,6.31,0.11,7.99,0.16,97.31
25.81,73.31,2.07,3.26,32.58,19.62,4.44,0.23,7.17,0.3,97.83
25.22,75.75,2.36,3.67,33.41,18.26,5.82,0.27,7.0,0.34,97.83
23.64,73.75,3.02,4.63,31.99,12.85,5.66,0.37,8.33,0.44,97.94
24.33,57.81,3.03,4.36,35.08,12.63,6.82,0.23,9.27,0.04,97.9
25.54,51.31,2.82,4.25,36.99,13.11,7.34,0.25,9.91,0.16,97.83
30.72,36.56,3.35,4.76,42.33,18.26,7.9,0.05,10.52,0.12,97.57
34.06,34.25,3.88,5.23,44.79,22.08,8.77,0.11,10.6,0.21,97.33
36.71,30.44,4.28,5.76,46.76,26.31,10.03,0.19,12.05,0.19,96.91
32.0,54.12,4.37,5.79,45.44,23.9,11.12,0.19,13.84,0.26,96.7
28.01,74.5,3.91,5.66,35.99,22.68,9.3,0.2,11.82,0.07,96.8
26.7,85.44,3.21,4.85,32.12,23.24,7.19,0.16,8.93,0.21,96.98
26.09,86.56,2.98,4.63,31.26,22.21,6.96,0.06,8.94,0.09,97.01
25.12,86.12,2.81,4.33,30.52,18.28,7.66,0.14,9.82,0.2,97.31
22.23,81.0,2.56,4.05,29.58,10.48,6.88,0.16,8.7,0.13,97.65
19.21,64.31,1.95,2.72,27.58,11.32,3.97,0.1,6.15,0.1,98.0
20.73,55.25,2.25,3.45,32.73,9.91,4.97,0.09,8.49,0.08,97.8
26.33,45.69,2.87,4.33,38.58,15.73,6.6,0.28,9.59,0.42,97.83
31.03,23.31,2.59,3.7,42.43,17.32,6.62,0.08,9.55,0.1,97.23
33.9,25.5,3.42,4.97,45.21,22.0,9.34,0.28,11.07,0.34,97.01
32.56,47.56,4.58,6.06,45.51,23.24,9.62,0.05,12.14,0.09,96.87
28.99,62.75,5.1,7.06,41.43,22.12,10.77,0.51,13.28,0.9,96.83
27.66,71.38,4.92,6.9,35.92,22.93,10.48,0.73,13.14,0.95,96.75
26.24,80.12,4.32,6.3,33.8,22.13,9.3,0.07,11.88,0.09,96.96
26.06,81.5,3.84,5.76,33.02,21.67,8.99,0.32,11.93,0.48,97.06
25.62,76.69,3.05,4.63,32.89,16.24,7.15,0.13,8.74,0.17,97.34
23.15,59.25,2.88,4.54,33.72,11.24,6.83,0.18,8.56,0.24,97.78
21.46,47.75,2.46,3.84,32.01,10.97,5.29,0.47,8.75,0.63,97.92
23.69,37.31,2.74,4.2,35.87,11.2,6.09,0.1,9.27,0.19,97.79
25.94,53.56,3.18,4.62,35.51,14.65,7.75,0.18,10.67,0.13,97.56
28.62,31.81,2.84,4.16,39.91,14.44,7.23,0.16,9.9,0.27,97.42
34.83,29.38,3.61,4.96,45.83,21.03,7.3,0.08,9.77,0.05,97.03
33.22,43.75,4.39,5.82,45.26,24.52,9.56,0.04,11.55,0.02,96.96
28.0,71.38,4.59,6.23,36.07,22.64,9.5,0.2,11.25,0.48,96.71
26.88,77.38,4.48,6.37,33.5,21.81,10.23,0.02,12.91,0.08,96.75
26.29,82.12,4.41,6.36,33.1,21.27,9.77,0.09,12.86,0.15,96.8
26.01,83.0,2.88,4.45,31.72,21.34,8.43,0.2,10.64,0.27,97.18
25.9,71.38,2.16,3.43,34.11,16.12,5.67,0.21,8.11,0.18,97.36
23.99,60.5,2.5,4.05,33.7,14.63,4.53,0.07,8.13,0.12,97.71
22.58,31.56,2.27,3.16,32.81,12.52,5.31,0.05,7.84,0.07,97.85
23.51,40.38,2.68,4.08,35.2,11.55,5.52,0.4,8.46,0.33,97.74
26.62,28.56,3.14,4.72,39.92,13.65,7.05,0.09,10.06,0.11,97.54
30.17,40.31,3.28,4.68,41.54,19.55,7.28,0.27,9.59,0.38,97.41
31.88,44.81,3.54,4.85,44.01,21.72,7.31,0.34,9.98,0.41,97.31
35.98,31.44,4.68,6.19,46.0,26.58,10.74,0.1,12.98,0.06,96.84
28.59,65.81,5.37,7.26,40.63,21.8,12.42,0.76,15.52,1.3,96.77
28.22,68.0,4.86,6.75,37.6,22.61,10.66,0.17,13.08,0.27,96.82
25.93,82.88,4.77,6.88,31.43,21.81,9.36,0.51,12.39,0.63,96.9
26.69,80.06,2.33,3.61,34.27,22.08,6.84,0.07,8.3,0.13,97.14
25.03,80.25,2.64,4.09,31.69,16.7,6.91,0.16,9.24,0.27,97.38
24.1,68.94,2.83,4.35,32.45,14.0,8.26,0.11,9.92,0.19,97.76
21.62,51.69,2.31,3.45,32.51,13.37,4.67,0.59,6.89,0.66,98.1
22.71,54.81,2.78,4.23,35.62,11.48,6.48,0.15,9.47,0.16,97.85
26.34,43.88,3.27,4.86,37.67,16.83,7.4,1.02,9.78,1.14,97.91
30.48,34.06,3.31,4.75,41.3,19.9,7.56,0.08,10.3,0.07,97.47
34.51,32.56,3.46,4.7,44.3,24.33,7.39,0.12,10.02,0.17,97.19
35.64,35.44,5.04,6.8,46.26,25.62,12.27,0.12,15.16,0.12,96.83
30.05,64.19,4.3,5.99,39.4,23.65,10.05,0.05,12.57,0.27,96.82
28.61,68.25,5.07,7.05,36.52,23.02,9.94,0.34,12.9,0.54,96.94
26.06,82.31,4.92,7.2,31.87,20.89,11.27,0.36,14.3,0.43,96.9
26.51,77.56,3.53,5.38,34.02,20.44,8.16,0.27,10.11,0.35,97.24
25.83,71.0,2.41,3.64,35.82,16.8,7.41,0.02,9.14,0.04,97.51
23.85,52.44,2.38,3.5,34.02,14.87,5.2,0.07,7.99,0.09,97.76
23.45,47.12,2.36,3.52,34.23,13.73,6.18,0.07,7.94,0.1,97.92
23.91,44.31,2.57,3.9,35.76,11.74,6.21,0.11,9.41,0.14,97.99
27.52,47.19,3.7,5.34,37.39,17.55,7.86,0.23,10.34,0.14,97.72
30.1,38.12,3.58,5.01,40.98,16.71,8.98,0.09,11.72,0.12,97.53
33.73,35.25,3.75,5.18,44.65,23.0,9.08,0.29,11.62,0.3,97.26
35.97,24.12,4.12,5.8,45.39,25.02,9.98,0.3,12.09,0.46,96.9
31.98,51.75,5.02,6.74,46.17,23.93,9.23,1.27,11.66,2.05,96.73
26.82,80.31,4.47,6.41,33.58,23.04,9.46,0.2,11.91,0.5,96.86
25.9,85.44,4.29,6.38,31.33,21.26,8.73,0.26,10.88,0.41,96.93
25.94,85.31,3.54,5.44,30.94,22.01,7.71,0.28,9.71,0.54,97.11
24.86,83.56,2.95,4.55,31.35,15.0,7.83,0.19,9.78,0.24,97.43
22.07,73.94,2.06,2.98,30.11,13.98,4.41,0.1,6.79,0.12,97.92
20.55,65.88,2.61,3.84,30.24,11.34,7.8,0.12,9.83,0.1,98.02
21.4,64.56,2.88,4.42,32.49,12.23,6.77,0.21,9.76,0.12,97.88
23.56,50.56,2.76,4.18,37.19,9.75,5.85,0.12,8.44,0.16,97.82
30.33,34.31,3.04,4.39,42.16,18.61,6.84,0.13,9.64,0.11,97.48
32.84,39.5,3.71,5.23,44.58,22.08,7.96,0.24,10.09,0.33,97.21
32.21,50.06,4.77,6.16,42.87,24.48,9.77,0.27,12.01,0.38,96.95
30.85,55.12,5.41,7.05,40.12,23.94,11.23,0.16,13.69,0.23,96.9
26.83,78.19,4.38,6.27,34.26,22.33,10.2,0.91,12.74,1.34,96.85
26.82,77.94,5.17,7.45,33.4,22.06,9.55,1.09,12.3,1.79,96.89
26.57,80.25,2.76,4.3,33.05,21.64,7.52,0.21,10.4,0.38,97.24
25.19,75.81,2.36,3.65,32.08,15.44,6.8,0.12,8.69,0.23,97.66
23.53,62.5,2.63,4.16,32.61,13.83,5.56,0.04,8.02,0.04,97.92
21.96,51.62,2.59,4.0,32.33,12.94,5.45,0.05,8.13,0.09,97.93
23.54,51.94,3.01,4.55,33.7,12.31,7.59,0.07,9.98,0.08,97.82
26.05,45.56,2.94,4.42,38.76,12.12,6.86,0.11,10.38,0.33,97.8
29.83,36.75,3.02,4.44,41.67,18.33,6.77,0.1,9.87,0.2,97.56
33.01,39.69,3.28,4.39,42.51,24.25,7.95,0.25,10.15,0.4,97.4
35.08,33.88,3.27,4.35,46.02,25.49,8.3,0.1,10.73,0.19,96.98
31.76,55.31,4.87,6.41,44.13,22.61,11.5,0.3,14.37,0.46,96.7
26.69,81.19,4.94,7.05,35.14,22.01,10.64,0.11,14.76,0.17,96.81
25.94,85.62,3.85,5.73,31.36,22.43,8.88,0.38,11.19,0.55,97.0
25.8,87.56,3.8,5.72,30.62,21.48,10.66,0.23,13.73,0.34,97.03
24.55,86.06,2.95,4.58,31.12,17.91,6.82,0.12,8.4,0.14,97.46
19.55,76.62,2.52,3.84,27.01,11.55,5.23,0.02,7.35,0.03,97.85
19.09,70.56,2.22,3.27,27.3,9.34,4.76,0.09,7.08,0.09,97.86
20.77,57.19,2.07,2.97,32.35,8.53,6.17,0.1,8.02,0.15,97.93
25.32,42.38,2.39,3.56,37.4,14.04,5.37,0.09,9.2,0.12,97.78
28.6,47.44,2.98,4.35,40.47,16.48,7.04,0.27,9.82,0.27,97.49
32.62,40.5,3.05,4.34,44.01,22.0,6.73,0.09,9.06,0.08,97.19
32.14,52.44,3.63,5.04,44.07,24.54,8.53,0.06,10.17,0.09,96.97
29.77,62.75,3.92,5.39,39.62,24.05,8.48,0.34,10.14,0.09,96.89
28.07,70.62,5.74,8.02,36.85,22.19,12.08,1.7,14.84,2.87,96.8
25.88,83.94,4.91,7.21,32.25,21.3,12.19,0.99,16.63,1.52,96.89
25.83,85.56,3.05,4.73,31.78,20.88,8.19,0.02,10.7,0.04,97.13
25.02,79.69,2.2,3.28,31.83,17.95,5.73,0.23,6.98,0.24,97.69
22.48,80.19,1.99,3.06,29.08,14.55,4.36,0.05,6.33,0.07,97.83
21.12,71.19,2.23,3.46,29.54,11.48,4.94,0.05,7.06,0.09,98.02
22.05,59.0,2.51,3.97,33.05,12.55,4.48,0.12,8.38,0.12,98.03
25.43,46.88,3.48,5.1,36.78,14.95,7.45,0.15,9.86,0.22,97.73
